timeframe,open_time,open,high,low,close,volume
15m,1778294700.0,1.4293,1.4307,1.427,1.4303,1458169.7
15m,1778295600.0,1.4303,1.4322,1.4297,1.43,1668761.3
15m,1778296500.0,1.43,1.4318,1.43,1.4311,927843.1
15m,1778297400.0,1.4311,1.4311,1.426,1.427,1415719.7
15m,1778298300.0,1.427,1.4289,1.4263,1.4282,396470.1
15m,1778299200.0,1.4282,1.4336,1.4281,1.432,1293398.0
15m,1778300100.0,1.432,1.4322,1.4293,1.4299,2232545.1
15m,1778301000.0,1.4299,1.4299,1.4268,1.4274,1487096.3
15m,1778301900.0,1.4274,1.4298,1.4266,1.4276,1661335.3
15m,1778302800.0,1.4276,1.4277,1.4243,1.4257,1843837.7
15m,1778303700.0,1.4257,1.4308,1.4256,1.4282,3201801.9
15m,1778304600.0,1.4282,1.4295,1.4272,1.4284,1516037.6
15m,1778305500.0,1.4284,1.4289,1.4255,1.4258,1609390.7
15m,1778306400.0,1.4258,1.4267,1.4243,1.4249,1497096.9
15m,1778307300.0,1.4249,1.4258,1.4217,1.4253,5086925.7
15m,1778308200.0,1.4253,1.4265,1.4228,1.4238,1990227.6
15m,1778309100.0,1.4238,1.4258,1.4231,1.4253,1463479.0
15m,1778310000.0,1.4253,1.4271,1.4243,1.4263,2451080.4
15m,1778310900.0,1.4263,1.4267,1.4235,1.4237,2832926.2
15m,1778311800.0,1.4237,1.4259,1.4212,1.4239,7157197.9
15m,1778312700.0,1.4239,1.4239,1.4223,1.423,1075935.6
15m,1778313600.0,1.423,1.4249,1.4222,1.4247,1523912.2
15m,1778314500.0,1.4247,1.4249,1.4233,1.4238,421008.5
15m,1778315400.0,1.4238,1.4245,1.4231,1.4239,561830.2
15m,1778316300.0,1.4239,1.4244,1.4235,1.4238,565331.8
15m,1778317200.0,1.4238,1.4249,1.422,1.4227,1356712.0
15m,1778318100.0,1.4227,1.4227,1.4189,1.4198,2598060.2
15m,1778319000.0,1.4198,1.4215,1.4191,1.4202,853583.5
15m,1778319900.0,1.4202,1.4209,1.4171,1.4189,1669460.7
15m,1778320800.0,1.4189,1.419,1.4167,1.4186,1687005.2
15m,1778321700.0,1.4186,1.4199,1.4185,1.4185,777787.1
15m,1778322600.0,1.4185,1.4221,1.4182,1.4212,802099.8
15m,1778323500.0,1.4212,1.4215,1.4203,1.4206,333259.9
15m,1778324400.0,1.4206,1.4218,1.4198,1.4208,572158.9
15m,1778325300.0,1.4208,1.4221,1.4204,1.4221,764066.0
15m,1778326200.0,1.4221,1.4224,1.4214,1.4215,384991.3
15m,1778327100.0,1.4215,1.4222,1.4212,1.4214,312567.6
15m,1778328000.0,1.4214,1.422,1.4193,1.4202,783577.8
15m,1778328900.0,1.4202,1.422,1.4187,1.4214,1596064.6
15m,1778329800.0,1.4214,1.4214,1.4194,1.4204,377237.6
15m,1778330700.0,1.4204,1.421,1.4196,1.4198,558796.3
15m,1778331600.0,1.4198,1.4199,1.4186,1.4197,448943.4
15m,1778332500.0,1.4197,1.4199,1.4163,1.4172,1269967.2
15m,1778333400.0,1.4172,1.4182,1.4158,1.418,1146941.6
15m,1778334300.0,1.418,1.419,1.4174,1.419,968402.8
15m,1778335200.0,1.419,1.4204,1.418,1.4194,855407.2
15m,1778336100.0,1.4194,1.4194,1.4147,1.4164,2651754.7
15m,1778337000.0,1.4164,1.4171,1.4154,1.4165,1336063.6
15m,1778337900.0,1.4165,1.4174,1.4143,1.4147,1225347.9
15m,1778338800.0,1.4147,1.4155,1.4109,1.4117,5396864.5
15m,1778339700.0,1.4117,1.414,1.4117,1.4139,1356738.7
15m,1778340600.0,1.4139,1.4152,1.4127,1.4129,1367632.2
15m,1778341500.0,1.4129,1.4139,1.4122,1.4135,1108650.0
15m,1778342400.0,1.4135,1.416,1.4102,1.416,3610205.8
15m,1778343300.0,1.416,1.4189,1.4158,1.4168,2725259.3
15m,1778344200.0,1.4168,1.4177,1.4156,1.4159,2192147.2
15m,1778345100.0,1.4159,1.4187,1.4149,1.4166,4596783.5
15m,1778346000.0,1.4166,1.4206,1.4165,1.4185,2361496.1
15m,1778346900.0,1.4185,1.4214,1.4185,1.4214,2532820.9
15m,1778347800.0,1.4214,1.4241,1.4208,1.4208,2511686.2
15m,1778348700.0,1.4208,1.4213,1.4195,1.4203,737878.8
15m,1778349600.0,1.4203,1.422,1.4203,1.4214,645528.2
15m,1778350500.0,1.4214,1.4241,1.4205,1.4235,1533653.3
15m,1778351400.0,1.4235,1.4238,1.4215,1.4219,649693.9
15m,1778352300.0,1.4219,1.4219,1.4196,1.4215,865549.4
15m,1778353200.0,1.4215,1.4225,1.4209,1.4219,1146634.6
15m,1778354100.0,1.4219,1.4219,1.4204,1.4218,382148.8
15m,1778355000.0,1.4218,1.423,1.4217,1.4225,397349.2
15m,1778355900.0,1.4225,1.4235,1.4217,1.4232,690561.5
15m,1778356800.0,1.4232,1.4234,1.4208,1.4217,1396576.1
15m,1778357700.0,1.4217,1.4218,1.4202,1.4207,801889.2
15m,1778358600.0,1.4207,1.4213,1.4198,1.4208,489076.9
15m,1778359500.0,1.4208,1.4212,1.4203,1.4209,212064.6
15m,1778360400.0,1.4209,1.4234,1.4203,1.4221,1066388.9
15m,1778361300.0,1.4221,1.4226,1.4205,1.4216,240290.8
15m,1778362200.0,1.4216,1.4218,1.4205,1.4209,278844.1
15m,1778363100.0,1.4209,1.4218,1.4204,1.4218,329825.7
15m,1778364000.0,1.4218,1.4223,1.4206,1.4211,507930.4
15m,1778364900.0,1.4211,1.4226,1.421,1.4222,250790.2
15m,1778365800.0,1.4222,1.4241,1.4208,1.4238,502448.8
15m,1778366700.0,1.4238,1.4243,1.4222,1.4226,650484.0
15m,1778367600.0,1.4226,1.4245,1.4213,1.4215,636836.1
15m,1778368500.0,1.4215,1.4218,1.4188,1.4197,938186.0
15m,1778369400.0,1.4197,1.4198,1.4181,1.419,1193611.8
15m,1778370300.0,1.419,1.4202,1.4189,1.4197,380271.6
15m,1778371200.0,1.4197,1.4204,1.4178,1.4201,1247840.4
15m,1778372100.0,1.4201,1.4219,1.4195,1.4205,584746.5
15m,1778373000.0,1.4205,1.4207,1.4182,1.4187,826080.8
15m,1778373900.0,1.4187,1.4189,1.415,1.416,1843980.2
15m,1778374800.0,1.416,1.4162,1.4135,1.4148,2974846.0
15m,1778375700.0,1.4148,1.4155,1.4114,1.4116,1676700.2
15m,1778376600.0,1.4116,1.4128,1.4112,1.4122,843950.0
15m,1778377500.0,1.4122,1.4146,1.4116,1.4141,753441.1
15m,1778378400.0,1.4141,1.4147,1.4125,1.4147,626834.5
15m,1778379300.0,1.4147,1.4212,1.4146,1.4209,2805442.2
15m,1778380200.0,1.4209,1.4212,1.4158,1.4164,3196408.8
15m,1778381100.0,1.4164,1.4175,1.4158,1.4164,1422065.3
15m,1778382000.0,1.4164,1.4181,1.4148,1.4148,814724.4
15m,1778382900.0,1.4148,1.4202,1.4137,1.4159,7259876.0
15m,1778383800.0,1.4159,1.4189,1.4149,1.4169,947274.4
15m,1778384700.0,1.4169,1.4177,1.4162,1.4162,279556.1
15m,1778385600.0,1.4162,1.4169,1.4147,1.4156,279499.7
15m,1778386500.0,1.4156,1.4164,1.4148,1.4159,389315.6
15m,1778387400.0,1.4159,1.4181,1.4159,1.4167,382745.3
15m,1778388300.0,1.4167,1.4184,1.4159,1.417,365571.9
15m,1778389200.0,1.417,1.4172,1.4157,1.4166,626435.6
15m,1778390100.0,1.4166,1.4199,1.4165,1.4177,1193498.1
15m,1778391000.0,1.4177,1.419,1.4173,1.4174,279032.7
15m,1778391900.0,1.4174,1.4181,1.417,1.4173,499677.8
15m,1778392800.0,1.4173,1.4178,1.4155,1.4163,637692.1
15m,1778393700.0,1.4163,1.4164,1.4149,1.415,308292.7
15m,1778394600.0,1.415,1.4178,1.415,1.4167,1393810.5
15m,1778395500.0,1.4167,1.4178,1.4164,1.4178,728942.5
15m,1778396400.0,1.4178,1.42,1.4166,1.4167,1570268.3
15m,1778397300.0,1.4167,1.4199,1.4166,1.419,846927.0
15m,1778398200.0,1.419,1.4199,1.4183,1.4198,628101.6
15m,1778399100.0,1.4198,1.4208,1.4189,1.4192,1388301.8
15m,1778400000.0,1.4192,1.4236,1.4184,1.4217,1806146.9
15m,1778400900.0,1.4217,1.4252,1.4204,1.4245,1938933.9
15m,1778401800.0,1.4245,1.4258,1.4235,1.4236,1309751.8
15m,1778402700.0,1.4236,1.4268,1.4236,1.4263,2254699.1
15m,1778403600.0,1.4263,1.4281,1.426,1.4267,2001600.9
15m,1778404500.0,1.4267,1.4269,1.4248,1.425,1599919.9
15m,1778405400.0,1.425,1.426,1.4222,1.4256,3690607.5
15m,1778406300.0,1.4256,1.4278,1.4256,1.4274,1480316.4
15m,1778407200.0,1.4274,1.4292,1.4241,1.429,3296094.3
15m,1778408100.0,1.429,1.4299,1.425,1.4267,5045824.3
15m,1778409000.0,1.4267,1.4268,1.4234,1.4243,1301125.3
15m,1778409900.0,1.4243,1.4273,1.4243,1.4265,873502.0
15m,1778410800.0,1.4265,1.4267,1.423,1.4232,2040128.0
15m,1778411700.0,1.4232,1.4245,1.4172,1.4212,7307910.8
15m,1778412600.0,1.4212,1.4228,1.4211,1.4214,1442403.1
15m,1778413500.0,1.4214,1.4231,1.4211,1.4224,538192.6
15m,1778414400.0,1.4224,1.4233,1.4207,1.4222,953895.2
15m,1778415300.0,1.4222,1.4233,1.4214,1.4227,581095.8
15m,1778416200.0,1.4227,1.4228,1.4203,1.422,771235.4
15m,1778417100.0,1.422,1.4235,1.422,1.4235,1112970.2
15m,1778418000.0,1.4235,1.4277,1.4225,1.4265,3110869.3
15m,1778418900.0,1.4265,1.4324,1.4262,1.4317,4722411.0
15m,1778419800.0,1.4317,1.4332,1.4301,1.431,2487631.3
15m,1778420700.0,1.431,1.4317,1.4297,1.4317,1422689.9
15m,1778421600.0,1.4317,1.4331,1.4303,1.4315,1362982.1
15m,1778422500.0,1.4315,1.4316,1.4284,1.4305,1355188.6
15m,1778423400.0,1.4305,1.4369,1.4302,1.4347,6085926.7
15m,1778424300.0,1.4347,1.4358,1.4311,1.4342,1684152.5
15m,1778425200.0,1.4342,1.4355,1.4327,1.4348,1845463.5
15m,1778426100.0,1.4348,1.4359,1.4335,1.4353,1032877.2
15m,1778427000.0,1.4353,1.4431,1.4351,1.442,4494241.8
15m,1778427900.0,1.442,1.4444,1.4406,1.4434,2557652.6
15m,1778428800.0,1.4434,1.4549,1.4419,1.4506,10699770.3
15m,1778429700.0,1.4506,1.4725,1.4471,1.4682,20908062.2
15m,1778430600.0,1.4682,1.4781,1.4675,1.4724,12814779.9
15m,1778431500.0,1.4724,1.4744,1.4687,1.4715,6183520.4
15m,1778432400.0,1.4715,1.4854,1.4713,1.485,8913853.3
15m,1778433300.0,1.485,1.4978,1.4818,1.4966,11274134.0
15m,1778434200.0,1.4966,1.4975,1.4871,1.4963,7457177.1
15m,1778435100.0,1.4963,1.5075,1.4906,1.5037,8782713.2
15m,1778436000.0,1.5037,1.5059,1.4996,1.5006,4196104.4
15m,1778436900.0,1.5006,1.5041,1.4951,1.4995,4474765.7
15m,1778437800.0,1.4995,1.5,1.4845,1.4862,8582572.6
15m,1778438700.0,1.4862,1.489,1.4848,1.4859,3306728.5
15m,1778439600.0,1.4859,1.486,1.4747,1.4794,7777361.1
15m,1778440500.0,1.4794,1.4888,1.479,1.4881,2830743.0
15m,1778441400.0,1.4881,1.4907,1.4855,1.4883,2762207.7
15m,1778442300.0,1.4883,1.4896,1.4807,1.4863,3747372.0
15m,1778443200.0,1.4863,1.4894,1.4776,1.4784,4881483.6
15m,1778444100.0,1.4784,1.4795,1.471,1.475,4745111.0
15m,1778445000.0,1.475,1.475,1.4609,1.4618,8364750.3
15m,1778445900.0,1.4618,1.462,1.4364,1.4494,18688859.6
15m,1778446800.0,1.4494,1.4557,1.4428,1.4469,5918328.3
15m,1778447700.0,1.4469,1.4575,1.4459,1.4573,2768055.9
15m,1778448600.0,1.4573,1.4634,1.4545,1.4603,4298249.3
15m,1778449500.0,1.4603,1.4634,1.4543,1.4544,2486381.6
15m,1778450400.0,1.4544,1.4655,1.4522,1.4623,4975334.2
15m,1778451300.0,1.4623,1.4698,1.46,1.4665,2858178.6
15m,1778452200.0,1.4665,1.4725,1.4634,1.469,4014024.6
15m,1778453100.0,1.469,1.474,1.4688,1.4729,3508217.6
15m,1778454000.0,1.4729,1.4755,1.4709,1.473,3557647.9
15m,1778454900.0,1.473,1.4742,1.4685,1.4718,2902772.5
15m,1778455800.0,1.4718,1.4765,1.4712,1.4755,1830863.4
15m,1778456700.0,1.4755,1.4764,1.4708,1.4727,1780038.9
15m,1778457600.0,1.4727,1.4773,1.4683,1.4691,3884374.9
15m,1778458500.0,1.4691,1.4693,1.4591,1.4602,6185919.4
15m,1778459400.0,1.4602,1.468,1.4567,1.4584,3230459.3
15m,1778460300.0,1.4584,1.4609,1.4513,1.4571,4165189.5
15m,1778461200.0,1.4571,1.4636,1.4515,1.4602,2865035.4
15m,1778462100.0,1.4602,1.4681,1.4586,1.4646,2230773.4
15m,1778463000.0,1.4646,1.4651,1.4601,1.4619,1627949.9
15m,1778463900.0,1.4619,1.4627,1.457,1.4601,1250557.4
15m,1778464800.0,1.4601,1.4619,1.4534,1.4547,2124806.8
15m,1778465700.0,1.4547,1.4547,1.4502,1.4538,3424645.0
15m,1778466600.0,1.4538,1.455,1.4482,1.4522,3848509.5
15m,1778467500.0,1.4522,1.4554,1.4517,1.4532,761511.3
15m,1778468400.0,1.4532,1.4535,1.4418,1.4419,5333961.4
15m,1778469300.0,1.4419,1.4464,1.4413,1.4427,5498322.9
15m,1778470200.0,1.4427,1.4459,1.4392,1.4458,4211113.3
15m,1778471100.0,1.4458,1.449,1.4455,1.448,1756365.2
15m,1778472000.0,1.448,1.448,1.444,1.446,2365004.8
15m,1778472900.0,1.446,1.4512,1.4459,1.4506,2033271.2
15m,1778473800.0,1.4506,1.456,1.4477,1.4504,5647676.5
15m,1778474700.0,1.4504,1.4507,1.4469,1.4475,2368111.2
15m,1778475600.0,1.4475,1.4509,1.4472,1.4502,1139116.4
15m,1778476500.0,1.4502,1.4534,1.4501,1.453,3247473.3
15m,1778477400.0,1.453,1.4555,1.4527,1.4535,1638486.9
15m,1778478300.0,1.4535,1.4555,1.4521,1.4545,1108253.4
15m,1778479200.0,1.4545,1.4585,1.4534,1.457,2006290.8
15m,1778480100.0,1.457,1.4577,1.4546,1.4565,1189699.3
15m,1778481000.0,1.4565,1.4579,1.4517,1.4526,1273701.2
15m,1778481900.0,1.4526,1.4538,1.45,1.4527,1109347.0
15m,1778482800.0,1.4527,1.453,1.448,1.4486,3106466.2
15m,1778483700.0,1.4486,1.4494,1.4419,1.4426,4063582.8
15m,1778484600.0,1.4426,1.4493,1.4416,1.447,4526530.0
15m,1778485500.0,1.447,1.4492,1.447,1.449,1193540.2
15m,1778486400.0,1.449,1.4507,1.4444,1.4476,4980212.5
15m,1778487300.0,1.4476,1.4486,1.4421,1.4421,1511995.4
15m,1778488200.0,1.4421,1.4472,1.4407,1.4464,3950536.4
15m,1778489100.0,1.4464,1.4481,1.4445,1.4452,1073347.9
15m,1778490000.0,1.4452,1.4508,1.4449,1.45,1506568.4
15m,1778490900.0,1.45,1.4512,1.4488,1.4512,1048746.1
15m,1778491800.0,1.4512,1.4522,1.4496,1.4518,1323991.5
15m,1778492700.0,1.4518,1.4538,1.4506,1.4508,1321859.9
15m,1778493600.0,1.4508,1.4518,1.4478,1.4504,3273600.3
15m,1778494500.0,1.4504,1.4537,1.4502,1.4517,1781468.9
15m,1778495400.0,1.4517,1.4529,1.4489,1.451,3009901.6
15m,1778496300.0,1.451,1.453,1.4484,1.4499,2517367.2
15m,1778497200.0,1.4499,1.451,1.4465,1.4483,3020405.0
15m,1778498100.0,1.4483,1.4535,1.4482,1.4531,1191950.8
15m,1778499000.0,1.4531,1.4565,1.453,1.4543,1992043.8
15m,1778499900.0,1.4543,1.4569,1.4531,1.4569,2481319.5
15m,1778500800.0,1.4569,1.4594,1.453,1.4563,5308066.5
15m,1778501700.0,1.4563,1.4617,1.4557,1.4606,3192726.8
15m,1778502600.0,1.4606,1.4628,1.4604,1.4615,3355138.3
15m,1778503500.0,1.4615,1.4626,1.4562,1.4571,4227281.0
15m,1778504400.0,1.4571,1.4634,1.4568,1.4615,2001881.0
15m,1778505300.0,1.4615,1.4644,1.46,1.4611,1737615.9
15m,1778506200.0,1.4611,1.4631,1.4515,1.4609,9969916.6
15m,1778507100.0,1.4609,1.4625,1.4561,1.4592,4315342.0
15m,1778508000.0,1.4592,1.4698,1.4592,1.469,6087808.7
15m,1778508900.0,1.469,1.4699,1.4578,1.4586,6214686.6
15m,1778509800.0,1.4586,1.4665,1.455,1.4638,10238464.9
15m,1778510700.0,1.4638,1.4722,1.4601,1.4709,6856873.8
15m,1778511600.0,1.4709,1.4737,1.4663,1.4727,5701037.5
15m,1778512500.0,1.4727,1.4875,1.4724,1.4864,10015496.8
15m,1778513400.0,1.4864,1.4883,1.4794,1.4837,4812341.6
15m,1778514300.0,1.4837,1.4883,1.4818,1.4845,4316798.1
15m,1778515200.0,1.4845,1.4873,1.4781,1.4852,6161524.7
15m,1778516100.0,1.4852,1.4859,1.4778,1.479,3290720.0
15m,1778517000.0,1.479,1.4811,1.4712,1.473,5649659.0
15m,1778517900.0,1.473,1.4772,1.4726,1.474,2405765.4
15m,1778518800.0,1.474,1.4748,1.4659,1.4691,4701508.3
15m,1778519700.0,1.4691,1.4727,1.4691,1.4716,2384910.4
15m,1778520600.0,1.4716,1.4783,1.4687,1.4772,4027535.7
15m,1778521500.0,1.4772,1.4805,1.4761,1.4794,2543563.9
15m,1778522400.0,1.4794,1.4807,1.4766,1.4773,2028767.1
15m,1778523300.0,1.4773,1.4786,1.4729,1.4773,2266065.4
15m,1778524200.0,1.4773,1.4784,1.4729,1.4735,2373343.5
15m,1778525100.0,1.4735,1.4752,1.4697,1.4698,2309804.7
15m,1778526000.0,1.4698,1.4739,1.4664,1.4739,2664838.5
15m,1778526900.0,1.4739,1.4768,1.4718,1.4732,2481372.4
15m,1778527800.0,1.4732,1.4799,1.4729,1.4797,1655523.1
15m,1778528700.0,1.4797,1.4799,1.4759,1.4786,3259308.0
15m,1778529600.0,1.4786,1.4822,1.4742,1.4751,3847798.9
15m,1778530500.0,1.4751,1.4765,1.4719,1.4726,1350145.7
15m,1778531400.0,1.4726,1.4755,1.472,1.4738,815527.5
15m,1778532300.0,1.4738,1.4768,1.4717,1.4724,1545026.7
15m,1778533200.0,1.4724,1.4743,1.4699,1.4715,1844254.7
15m,1778534100.0,1.4715,1.4722,1.468,1.4691,1031066.9
15m,1778535000.0,1.4691,1.4725,1.4686,1.4712,948381.6
15m,1778535900.0,1.4712,1.4717,1.4688,1.4693,508291.0
15m,1778536800.0,1.4693,1.4732,1.4678,1.4711,1210711.0
15m,1778537700.0,1.4711,1.4727,1.4682,1.469,713871.0
15m,1778538600.0,1.469,1.4716,1.4689,1.4716,629085.8
15m,1778539500.0,1.4716,1.4766,1.4705,1.4744,1165849.4
15m,1778540400.0,1.4744,1.4745,1.472,1.4739,1285465.4
15m,1778541300.0,1.4739,1.474,1.4699,1.4725,1314390.2
15m,1778542200.0,1.4725,1.4794,1.4718,1.4785,1699122.5
15m,1778543100.0,1.4785,1.4794,1.4754,1.4766,1323858.5
15m,1778544000.0,1.4766,1.4793,1.4748,1.4775,1665799.3
15m,1778544900.0,1.4775,1.4794,1.476,1.4789,1612037.6
15m,1778545800.0,1.4789,1.4843,1.4778,1.4785,3166245.9
15m,1778546700.0,1.4785,1.4827,1.4783,1.4788,1763400.5
15m,1778547600.0,1.4788,1.4811,1.4742,1.4759,2227279.4
15m,1778548500.0,1.4759,1.4762,1.4691,1.4728,4888615.6
15m,1778549400.0,1.4728,1.4728,1.4551,1.4631,12786237.1
15m,1778550300.0,1.4631,1.4689,1.4612,1.4663,3258257.0
15m,1778551200.0,1.4663,1.4701,1.4645,1.4692,1810844.9
15m,1778552100.0,1.4692,1.4694,1.4622,1.4666,2333277.9
15m,1778553000.0,1.4666,1.4671,1.46,1.4601,1357652.0
15m,1778553900.0,1.4601,1.4663,1.4601,1.464,1445029.3
15m,1778554800.0,1.464,1.465,1.4607,1.4621,1441516.2
15m,1778555700.0,1.4621,1.4632,1.4584,1.4599,1661901.4
15m,1778556600.0,1.4599,1.4631,1.4598,1.4626,1044088.0
15m,1778557500.0,1.4626,1.4626,1.4576,1.4591,1279105.6
15m,1778558400.0,1.4591,1.4602,1.4565,1.4572,2557682.5
15m,1778559300.0,1.4572,1.4634,1.4568,1.4627,1600808.9
15m,1778560200.0,1.4627,1.4649,1.4615,1.4636,1393576.2
15m,1778561100.0,1.4636,1.4657,1.462,1.4622,1259173.7
15m,1778562000.0,1.4622,1.4638,1.4591,1.4602,1091511.9
15m,1778562900.0,1.4602,1.464,1.4597,1.4637,1534418.5
15m,1778563800.0,1.4637,1.4686,1.4622,1.4636,3891094.3
15m,1778564700.0,1.4636,1.4643,1.4606,1.4614,1309903.9
15m,1778565600.0,1.4614,1.4627,1.4603,1.4623,729553.7
15m,1778566500.0,1.4623,1.4662,1.462,1.4629,1365005.1
15m,1778567400.0,1.4629,1.4635,1.4592,1.4593,2270105.2
15m,1778568300.0,1.4593,1.4602,1.455,1.4576,4071489.3
15m,1778569200.0,1.4576,1.461,1.4533,1.4598,3406205.9
15m,1778570100.0,1.4598,1.4635,1.4572,1.4622,1302961.3
15m,1778571000.0,1.4622,1.4648,1.4613,1.4617,1044068.2
15m,1778571900.0,1.4617,1.4643,1.4589,1.4623,3250252.6
15m,1778572800.0,1.4623,1.4653,1.4603,1.4606,1701979.4
15m,1778573700.0,1.4606,1.469,1.4591,1.4689,4007823.9
15m,1778574600.0,1.4689,1.4703,1.4657,1.468,3981285.5
15m,1778575500.0,1.468,1.4694,1.4643,1.4644,1454930.7
15m,1778576400.0,1.4644,1.4644,1.4567,1.4567,3507818.8
15m,1778577300.0,1.4567,1.4575,1.4536,1.4548,3398480.0
15m,1778578200.0,1.4548,1.4584,1.4547,1.4552,3081720.1
15m,1778579100.0,1.4552,1.4564,1.4541,1.4549,1613252.5
15m,1778580000.0,1.4549,1.4574,1.4504,1.4555,6492310.0
15m,1778580900.0,1.4555,1.4563,1.4535,1.4538,1531258.0
15m,1778581800.0,1.4538,1.4545,1.4475,1.4488,5356412.0
15m,1778582700.0,1.4488,1.4495,1.4458,1.449,3501028.2
15m,1778583600.0,1.449,1.4513,1.4463,1.4473,2959092.0
15m,1778584500.0,1.4473,1.4475,1.4432,1.4457,3725072.0
15m,1778585400.0,1.4457,1.4481,1.4454,1.448,1640055.0
15m,1778586300.0,1.448,1.4488,1.4467,1.4483,1419456.0
15m,1778587200.0,1.4483,1.4508,1.4462,1.4505,2394400.0
15m,1778588100.0,1.4505,1.4525,1.4495,1.4517,2887198.8
15m,1778589000.0,1.4517,1.455,1.4455,1.4498,8724838.3
15m,1778589900.0,1.4498,1.452,1.4492,1.4498,754509.7
15m,1778590800.0,1.4498,1.4519,1.4495,1.4498,2422347.9
15m,1778591700.0,1.4498,1.4499,1.4465,1.448,2036685.4
15m,1778592600.0,1.448,1.4499,1.4426,1.4481,4348200.4
15m,1778593500.0,1.4481,1.4496,1.4314,1.4336,24416255.0
15m,1778594400.0,1.4336,1.4395,1.4326,1.4386,5572748.3
15m,1778595300.0,1.4386,1.44,1.4301,1.4321,4284127.1
15m,1778596200.0,1.4321,1.436,1.4258,1.4338,10362821.9
15m,1778597100.0,1.4338,1.4338,1.4235,1.4273,5068677.3
15m,1778598000.0,1.4273,1.4307,1.4243,1.4288,2572929.5
15m,1778598900.0,1.4288,1.4291,1.4175,1.4197,9601068.9
15m,1778599800.0,1.4197,1.4245,1.4194,1.4238,2672622.3
15m,1778600700.0,1.4238,1.4261,1.4213,1.4233,1688060.5
15m,1778601600.0,1.4233,1.4268,1.4207,1.4255,2195828.3
15m,1778602500.0,1.4255,1.4281,1.4236,1.4271,1612633.0
15m,1778603400.0,1.4271,1.4283,1.4239,1.4259,1455157.6
15m,1778604300.0,1.4259,1.4266,1.419,1.4217,5075430.3
15m,1778605200.0,1.4217,1.4291,1.4216,1.4289,2517310.9
15m,1778606100.0,1.4289,1.4334,1.4289,1.4308,3510961.3
15m,1778607000.0,1.4308,1.4333,1.4303,1.4331,1400893.5
15m,1778607900.0,1.4331,1.4343,1.432,1.433,1226245.7
15m,1778608800.0,1.433,1.4342,1.4307,1.4323,2374211.5
15m,1778609700.0,1.4323,1.4337,1.4315,1.4327,877570.4
