timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1772975700.0,1.3453,1.3497,1.3411,1.3485,967071.73,0.0,0.0,0
15m,1772976600.0,1.3485,1.3485,1.3427,1.3463,355539.23,0.0,0.0,0
15m,1772977500.0,1.3463,1.3512,1.3456,1.3501,242506.18,0.0,0.0,0
15m,1772978400.0,1.3501,1.3531,1.3495,1.3508,169058.11,0.0,0.0,0
15m,1772979300.0,1.3508,1.3527,1.3471,1.3473,146780.61,0.0,0.0,0
15m,1772980200.0,1.3473,1.3503,1.3455,1.3465,387850.4,0.0,0.0,0
15m,1772981100.0,1.3465,1.35,1.3455,1.3497,98006.32,0.0,0.0,0
15m,1772982000.0,1.3497,1.3498,1.3466,1.3491,171219.94,0.0,0.0,0
15m,1772982900.0,1.3491,1.3491,1.3446,1.345,405341.07,0.0,0.0,0
15m,1772983800.0,1.345,1.3456,1.3429,1.3436,366082.47,0.0,0.0,0
15m,1772984700.0,1.3436,1.3473,1.3433,1.3457,259331.8,0.0,0.0,0
15m,1772985600.0,1.3457,1.3457,1.3427,1.3433,259156.7,0.0,0.0,0
15m,1772986500.0,1.3433,1.3445,1.3416,1.3431,398144.11,0.0,0.0,0
15m,1772987400.0,1.3431,1.3436,1.338,1.3425,434083.75,0.0,0.0,0
15m,1772988300.0,1.3425,1.3425,1.3378,1.3395,136667.0,0.0,0.0,0
15m,1772989200.0,1.3395,1.3461,1.3391,1.3445,165194.76,0.0,0.0,0
15m,1772990100.0,1.3445,1.346,1.3433,1.3435,55150.94,0.0,0.0,0
15m,1772991000.0,1.3435,1.3445,1.3414,1.342,144306.17,0.0,0.0,0
15m,1772991900.0,1.342,1.3444,1.3415,1.3439,90325.12,0.0,0.0,0
15m,1772992800.0,1.3439,1.3447,1.3426,1.3432,233348.23,0.0,0.0,0
15m,1772993700.0,1.3432,1.3449,1.3399,1.3442,351126.61,0.0,0.0,0
15m,1772994600.0,1.3442,1.3483,1.3418,1.3423,271988.49,0.0,0.0,0
15m,1772995500.0,1.3423,1.3462,1.3419,1.3454,267736.53,0.0,0.0,0
15m,1772996400.0,1.3454,1.3515,1.3431,1.3498,360386.2,0.0,0.0,0
15m,1772997300.0,1.3498,1.3572,1.3496,1.3566,292121.45,0.0,0.0,0
15m,1772998200.0,1.3566,1.3596,1.3556,1.359,163650.1,0.0,0.0,0
