timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1751030100.0,2.0881,2.0919,2.0819,2.0835,341693.3,0.0,0.0,0
15m,1751031000.0,2.0835,2.0947,2.0827,2.0916,287477.21,0.0,0.0,0
15m,1751031900.0,2.0916,2.0946,2.0752,2.0945,1085544.82,0.0,0.0,0
15m,1751032800.0,2.0945,2.1014,2.0841,2.0846,1556595.13,0.0,0.0,0
15m,1751033700.0,2.0846,2.0864,2.0754,2.0794,1725059.26,0.0,0.0,0
15m,1751034600.0,2.0794,2.0835,2.0737,2.0815,499922.47,0.0,0.0,0
15m,1751035500.0,2.0815,2.0831,2.0673,2.0718,847676.99,0.0,0.0,0
15m,1751036400.0,2.0718,2.0765,2.0682,2.0745,829357.39,0.0,0.0,0
15m,1751037300.0,2.0745,2.0842,2.0703,2.0837,573202.55,0.0,0.0,0
15m,1751038200.0,2.0837,2.0952,2.0821,2.0943,394480.86,0.0,0.0,0
15m,1751039100.0,2.0943,2.0995,2.0888,2.0973,414719.52,0.0,0.0,0
15m,1751040000.0,2.0973,2.1007,2.0948,2.0992,430421.74,0.0,0.0,0
15m,1751040900.0,2.0992,2.1065,2.0979,2.1065,475107.6,0.0,0.0,0
15m,1751041800.0,2.1065,2.1221,2.1065,2.1096,1179782.72,0.0,0.0,0
15m,1751042700.0,2.1096,2.1164,2.1079,2.1123,476917.12,0.0,0.0,0
15m,1751043600.0,2.1123,2.114,2.1004,2.1016,298183.62,0.0,0.0,0
15m,1751044500.0,2.1016,2.1043,2.0926,2.0942,431695.52,0.0,0.0,0
15m,1751045400.0,2.0942,2.0977,2.0856,2.086,316993.68,0.0,0.0,0
15m,1751046300.0,2.086,2.094,2.0802,2.0921,511105.23,0.0,0.0,0
15m,1751047200.0,2.0921,2.094,2.0883,2.0885,283301.48,0.0,0.0,0
15m,1751048100.0,2.0885,2.0931,2.0819,2.0856,234867.54,0.0,0.0,0
15m,1751049000.0,2.0856,2.0892,2.0756,2.0785,483938.79,0.0,0.0,0
15m,1751049900.0,2.0785,2.0817,2.0708,2.0793,539564.46,0.0,0.0,0
15m,1751050800.0,2.0793,2.0922,2.077,2.0909,274266.23,0.0,0.0,0
15m,1751051700.0,2.0909,2.0938,2.0882,2.0906,164573.74,0.0,0.0,0
15m,1751052600.0,2.0906,2.0952,2.0896,2.0942,190426.21,0.0,0.0,0
15m,1751053500.0,2.0942,2.0992,2.0938,2.0939,245272.65,0.0,0.0,0
15m,1751054400.0,2.0939,2.105,2.093,2.1013,236027.37,0.0,0.0,0
15m,1751055300.0,2.1013,2.1045,2.1007,2.1039,196460.34,0.0,0.0,0
15m,1751056200.0,2.1039,2.1115,2.1031,2.1109,185475.42,0.0,0.0,0
15m,1751057100.0,2.1109,2.1155,2.1069,2.1101,340024.99,0.0,0.0,0
15m,1751058000.0,2.1101,2.1186,2.1066,2.1129,485922.3,0.0,0.0,0
15m,1751058900.0,2.1129,2.1484,2.1127,2.148,998087.51,0.0,0.0,0
15m,1751059800.0,2.148,2.155,2.1307,2.1334,891245.4,0.0,0.0,0
15m,1751060700.0,2.1334,2.1497,2.1334,2.1393,385785.11,0.0,0.0,0
15m,1751061600.0,2.1393,2.1504,2.1392,2.1462,365718.6,0.0,0.0,0
15m,1751062500.0,2.1462,2.1525,2.1427,2.1433,430326.31,0.0,0.0,0
15m,1751063400.0,2.1433,2.1433,2.1371,2.1408,190914.82,0.0,0.0,0
15m,1751064300.0,2.1408,2.1459,2.1387,2.1393,310151.69,0.0,0.0,0
15m,1751065200.0,2.1393,2.1404,2.129,2.1321,220565.99,0.0,0.0,0
15m,1751066100.0,2.1321,2.1339,2.1265,2.1323,197738.94,0.0,0.0,0
15m,1751067000.0,2.1323,2.139,2.1305,2.1384,154974.8,0.0,0.0,0
15m,1751067900.0,2.1384,2.1428,2.138,2.1415,270803.25,0.0,0.0,0
15m,1751068800.0,2.1415,2.1435,2.1336,2.1342,258621.58,0.0,0.0,0
15m,1751069700.0,2.1342,2.1475,2.1339,2.1474,270118.1,0.0,0.0,0
15m,1751070600.0,2.1474,2.1514,2.1442,2.1451,372813.21,0.0,0.0,0
15m,1751071500.0,2.1451,2.1495,2.1433,2.145,352540.23,0.0,0.0,0
15m,1751072400.0,2.145,2.1487,2.1418,2.1418,167307.0,0.0,0.0,0
15m,1751073300.0,2.1418,2.1512,2.1381,2.1473,385389.17,0.0,0.0,0
15m,1751074200.0,2.1473,2.1582,2.1447,2.1577,264480.41,0.0,0.0,0
15m,1751075100.0,2.1577,2.1785,2.1566,2.1758,813047.27,0.0,0.0,0
15m,1751076000.0,2.1758,2.1901,2.1745,2.1821,1321207.81,0.0,0.0,0
15m,1751076900.0,2.1821,2.1913,2.1817,2.1896,837250.33,0.0,0.0,0
15m,1751077800.0,2.1896,2.1896,2.1812,2.1817,370370.78,0.0,0.0,0
15m,1751078700.0,2.1817,2.1828,2.1701,2.1714,412013.92,0.0,0.0,0
15m,1751079600.0,2.1714,2.1756,2.171,2.1751,323738.34,0.0,0.0,0
15m,1751080500.0,2.1751,2.1817,2.1748,2.1816,331381.91,0.0,0.0,0
15m,1751081400.0,2.1816,2.1857,2.1805,2.1851,250229.96,0.0,0.0,0
15m,1751082300.0,2.1851,2.1861,2.1806,2.1845,181590.12,0.0,0.0,0
15m,1751083200.0,2.1845,2.1864,2.179,2.1817,325508.19,0.0,0.0,0
15m,1751084100.0,2.1817,2.1877,2.179,2.1863,175733.26,0.0,0.0,0
15m,1751085000.0,2.1863,2.1864,2.1803,2.181,129291.07,0.0,0.0,0
15m,1751085900.0,2.181,2.181,2.1754,2.179,172101.84,0.0,0.0,0
15m,1751086800.0,2.179,2.1854,2.1786,2.1822,238497.23,0.0,0.0,0
15m,1751087700.0,2.1822,2.186,2.1812,2.1851,322095.92,0.0,0.0,0
15m,1751088600.0,2.1851,2.187,2.1836,2.1848,230328.55,0.0,0.0,0
15m,1751089500.0,2.1848,2.1927,2.1845,2.1885,265420.76,0.0,0.0,0
15m,1751090400.0,2.1885,2.1939,2.1877,2.1939,211547.27,0.0,0.0,0
15m,1751091300.0,2.1939,2.1985,2.1931,2.1983,278754.37,0.0,0.0,0
15m,1751092200.0,2.1983,2.2008,2.1913,2.1927,467945.57,0.0,0.0,0
15m,1751093100.0,2.1927,2.1961,2.1907,2.1925,153935.17,0.0,0.0,0
15m,1751094000.0,2.1925,2.194,2.1868,2.1903,422673.5,0.0,0.0,0
15m,1751094900.0,2.1903,2.1909,2.1874,2.1895,186902.63,0.0,0.0,0
15m,1751095800.0,2.1895,2.1926,2.1865,2.1878,271894.55,0.0,0.0,0
15m,1751096700.0,2.1878,2.1939,2.1871,2.1904,120650.43,0.0,0.0,0
15m,1751097600.0,2.1904,2.1925,2.1843,2.1844,347207.86,0.0,0.0,0
15m,1751098500.0,2.1844,2.1846,2.18,2.1827,405916.57,0.0,0.0,0
15m,1751099400.0,2.1827,2.1859,2.1816,2.1831,144830.9,0.0,0.0,0
15m,1751100300.0,2.1831,2.1832,2.1802,2.1823,78786.53,0.0,0.0,0
15m,1751101200.0,2.1823,2.186,2.1811,2.1812,407423.47,0.0,0.0,0
15m,1751102100.0,2.1812,2.1852,2.1808,2.1833,228076.25,0.0,0.0,0
15m,1751103000.0,2.1833,2.1887,2.1829,2.1861,104374.71,0.0,0.0,0
15m,1751103900.0,2.1861,2.1893,2.1857,2.1861,206538.18,0.0,0.0,0
15m,1751104800.0,2.1861,2.1916,2.1861,2.1916,314453.08,0.0,0.0,0
15m,1751105700.0,2.1916,2.1922,2.1869,2.1877,204083.49,0.0,0.0,0
15m,1751106600.0,2.1877,2.1897,2.1851,2.1856,80379.44,0.0,0.0,0
15m,1751107500.0,2.1856,2.1913,2.1845,2.1905,143813.04,0.0,0.0,0
15m,1751108400.0,2.1905,2.1924,2.1885,2.1919,251750.58,0.0,0.0,0
15m,1751109300.0,2.1919,2.1921,2.1898,2.1919,138974.51,0.0,0.0,0
15m,1751110200.0,2.1919,2.1934,2.1895,2.1907,158338.0,0.0,0.0,0
15m,1751111100.0,2.1907,2.1935,2.1903,2.1924,105987.18,0.0,0.0,0
15m,1751112000.0,2.1924,2.1995,2.1924,2.1993,238763.06,0.0,0.0,0
15m,1751112900.0,2.1993,2.1997,2.19,2.1908,181371.26,0.0,0.0,0
15m,1751113800.0,2.1908,2.1927,2.1892,2.1898,270576.32,0.0,0.0,0
15m,1751114700.0,2.1898,2.1944,2.185,2.1859,219205.98,0.0,0.0,0
15m,1751115600.0,2.1859,2.189,2.1856,2.1874,143693.96,0.0,0.0,0
15m,1751116500.0,2.1874,2.1894,2.1837,2.1846,113109.31,0.0,0.0,0
